x-axis,1,2,3
second,Volt,Ampere,Volt
-2.6500E+00,+2.8721E+00,+2.3900E+00,+3.5503E+00
-2.6400E+00,+2.8727E+00,+2.4275E+00,+3.5519E+00
-2.6300E+00,+2.8717E+00,+2.4400E+00,+3.5456E+00
-2.6200E+00,+2.8721E+00,+2.4587E+00,+3.5425E+00
-2.6100E+00,+2.8721E+00,+2.5212E+00,+3.5425E+00
-2.6000E+00,+2.8711E+00,+2.5650E+00,+3.5362E+00
-2.5900E+00,+2.8721E+00,+2.5900E+00,+3.5347E+00
-2.5800E+00,+2.8711E+00,+2.6087E+00,+3.5300E+00
-2.5700E+00,+2.8711E+00,+2.6587E+00,+3.5269E+00
-2.5600E+00,+2.8708E+00,+2.7087E+00,+3.5237E+00
-2.5500E+00,+2.8714E+00,+2.7462E+00,+3.5237E+00
-2.5400E+00,+2.8714E+00,+2.7587E+00,+3.5191E+00
-2.5300E+00,+2.8711E+00,+2.7837E+00,+3.5159E+00
-2.5200E+00,+2.8711E+00,+2.8400E+00,+3.5112E+00
-2.5100E+00,+2.8711E+00,+2.8775E+00,+3.5081E+00
-2.5000E+00,+2.8714E+00,+2.8962E+00,+3.5066E+00
-2.4900E+00,+2.8699E+00,+2.9337E+00,+3.5066E+00
-2.4800E+00,+2.8705E+00,+2.9650E+00,+3.5019E+00
-2.4700E+00,+2.8705E+00,+3.0025E+00,+3.5034E+00
-2.4600E+00,+2.8699E+00,+3.0400E+00,+3.4972E+00
-2.4500E+00,+2.8702E+00,+3.0587E+00,+3.4941E+00
-2.4400E+00,+2.8708E+00,+3.0900E+00,+3.4925E+00
-2.4300E+00,+2.8702E+00,+3.1150E+00,+3.4925E+00
-2.4200E+00,+2.8705E+00,+3.1525E+00,+3.4894E+00
-2.4100E+00,+2.8702E+00,+3.1775E+00,+3.4925E+00
-2.4000E+00,+2.8705E+00,+3.1962E+00,+3.4909E+00
-2.3900E+00,+2.8702E+00,+3.2087E+00,+3.4878E+00
-2.3800E+00,+2.8705E+00,+3.2337E+00,+3.4878E+00
-2.3700E+00,+2.8692E+00,+3.2712E+00,+3.4862E+00
-2.3600E+00,+2.8696E+00,+3.2775E+00,+3.4831E+00
